group,species
dragonflies,Sympetrum sanguineum
dragonflies,Sympetrum striolatum
dragonflies,Sympetrum vulgatum
grasshoppers,Acheta domesticus
grasshoppers,Acrotylus patruelis
grasshoppers,Aeropedellus variegatus
grasshoppers,Aiolopus strepens
grasshoppers,Aiolopus thalassinus
grasshoppers,Anacridium aegyptium
grasshoppers,Anonconotus alpinus
grasshoppers,Antaxius difformis
grasshoppers,Antaxius pedestris
grasshoppers,Arcyptera fusca
grasshoppers,Barbitistes obtusus
grasshoppers,Barbitistes serricauda
grasshoppers,Bohemanella frigida
grasshoppers,Calliptamus barbarus
grasshoppers,Calliptamus italicus
grasshoppers,Calliptamus siciliae
grasshoppers,Chorthippus albomarginatus
grasshoppers,Chorthippus apricarius
grasshoppers,Chorthippus biguttulus
grasshoppers,Chorthippus brunneus
grasshoppers,Chorthippus dorsatus
grasshoppers,Chorthippus eisentrauti
grasshoppers,Chorthippus mollis
grasshoppers,Chorthippus montanus
grasshoppers,Chorthippus parallelus
grasshoppers,Chorthippus pullus
grasshoppers,Chorthippus vagans
grasshoppers,Chrysochraon dispar
grasshoppers,Conocephalus dorsalis
grasshoppers,Conocephalus fuscus
grasshoppers,Decticus verrucivorus
grasshoppers,Epacromius tergestinus
grasshoppers,Ephippiger ephippiger
grasshoppers,Ephippiger terrestris
grasshoppers,Ephippiger vicheti
grasshoppers,Euchorthippus declivus
grasshoppers,Eumodicogryllus bordigalensis
grasshoppers,Eupholidoptera chabrieri
grasshoppers,Euthystira brachyptera
grasshoppers,Gomphocerippus rufus
grasshoppers,Gomphocerus sibiricus
grasshoppers,Gryllomorpha dalmatina
grasshoppers,Gryllotalpa gryllotalpa
grasshoppers,Gryllus campestris
grasshoppers,Leptophyes albovittata
grasshoppers,Leptophyes laticauda
grasshoppers,Leptophyes punctatissima
grasshoppers,Locusta migratoria
grasshoppers,Meconema meridionale
grasshoppers,Meconema thalassinum
grasshoppers,Mecostethus parapleurus
grasshoppers,Metrioptera bicolor
grasshoppers,Metrioptera brachyptera
grasshoppers,Metrioptera fedtschenkoi
grasshoppers,Metrioptera roeselii
grasshoppers,Metrioptera saussuriana
grasshoppers,Miramella alpina
grasshoppers,Miramella formosanta
grasshoppers,Myrmeleotettix maculatus
grasshoppers,Nemobius sylvestris
grasshoppers,Odontopodisma decipiens
grasshoppers,Oecanthus pellucens
grasshoppers,Oedaleus decorus
grasshoppers,Oedipoda caerulescens
grasshoppers,Oedipoda germanica
grasshoppers,Omocestus haemorrhoidalis
grasshoppers,Omocestus rufipes
grasshoppers,Omocestus viridulus
grasshoppers,Pachytrachis striolatus
grasshoppers,Pezotettix giornae
grasshoppers,Phaneroptera falcata
grasshoppers,Phaneroptera nana
grasshoppers,Pholidoptera aptera
grasshoppers,Pholidoptera fallax
grasshoppers,Pholidoptera griseoaptera
grasshoppers,Pholidoptera littoralis
grasshoppers,Platycleis albopunctata
grasshoppers,Podisma pedestris
grasshoppers,Podismopsis keisti
grasshoppers,Polysarcus denticauda
grasshoppers,Psophus stridulus
grasshoppers,Pteronemobius heydenii
grasshoppers,Pteronemobius lineolatus
grasshoppers,Ruspolia nitidula
grasshoppers,Saga pedo
grasshoppers,Sphingonotus caerulans
grasshoppers,Stauroderus scalaris
grasshoppers,Stenobothrus lineatus
grasshoppers,Stenobothrus nigromaculatus
grasshoppers,Stenobothrus rubicundulus
grasshoppers,Stenobothrus stigmaticus
grasshoppers,Stethophyma grossum
grasshoppers,Tetrix bipunctata
grasshoppers,Tetrix ceperoi
grasshoppers,Tetrix subulata
grasshoppers,Tetrix tenuicornis
grasshoppers,Tetrix tuerki
grasshoppers,Tetrix undulata
grasshoppers,Tettigonia cantans
grasshoppers,Tettigonia caudata
grasshoppers,Tettigonia viridissima
grasshoppers,Uvarovitettix depressus
grasshoppers,Yersinella raymondii
